player,club today,squad,league,position,age,market value,contract months left,matches played,minutes played,goals,xg,assists,xa,duels per 90,"duels won, %",birth country,passport country,foot,height,weight,on loan,successful defensive actions per 90,defensive duels per 90,"defensive duels won, %",aerial duels per 90,"aerial duels won, %",shots blocked per 90,interceptions per 90,non-penalty goals per 90,xg per 90,head goals per 90,shots per 90,"shots on target, %","goal conversion, %",assists per 90,crosses per 90,"accurate crosses, %",crosses from left flank per 90,"accurate crosses from left flank, %",crosses from right flank per 90,"accurate crosses from right flank, %",crosses to goalie box per 90,dribbles per 90,"successful dribbles, %",offensive duels per 90,"offensive duels won, %",touches in box per 90,progressive runs per 90,accelerations per 90,received passes per 90,received long passes per 90,fouls per 90,fouls suffered per 90,passes per 90,"accurate passes, %",forward passes per 90,"accurate forward passes, %",back passes per 90,"accurate back passes, %",lateral passes per 90,"accurate lateral passes, %",short / medium passes per 90,"accurate short / medium passes, %",long passes per 90,"accurate long passes, %","average pass length, m","average long pass length, m",xa per 90,shot assists per 90,second assists per 90,third assists per 90,key passes per 90,passes to final third per 90,"accurate passes to final third, %",passes to penalty area per 90,"accurate passes to penalty area, %",through passes per 90,"accurate through passes, %",deep completions per 90,deep completed crosses per 90,progressive passes per 90,"accurate progressive passes, %",main position
Fake Player 1,FC Synthetic 1,FC Synthetic 1,Ligue 1,CM,19,62.54071201167219,1,5,2683,6,4.775058736277328,9,3.1241825209830005,5.141301141861971,80.3,Spain,Spain,left,173.2545757680514,63.075047455100204,0,12.555395424734272,11.718770892254389,66.5,4.227397379499582,64.0,0.8097004276562679,7.852530681563438,0.04635954612769977,0.30326605020397235,0.03232658843651046,1.808409267947316,63.1,70.9,0.30915803483794313,1.8369930877731395,78.9,0.46495553431817016,82.3,0.9937531809339843,73.9,0.9064609556983819,1.925145293137789,75.6,10.851628766338411,61.5,1.447593677323604,3.4513830144119875,14.083359882562453,40.75082332865236,3.2144209702288227,0.6470026445587441,0.9668655441744742,73.4515021049506,82.9,22.044992842454935,77.9,8.75721450675044,77.8,28.64441672605432,73.0,54.74983103214134,82.6,5.69644952387773,70.9,24.511199705475438,40.70675102975499,0.2608193932819467,1.1038390195423362,0.733204611068756,0.3786372726872934,1.439855434124207,8.085017856888932,80.1,2.843077777466802,73.6,0.2790184087724128,63.5,1.835261462313324,0.1930832074608152,9.11736729344619,73.1,CM
Fake Player 2,FC Synthetic 2,FC Synthetic 2,Bundesliga,RCM,29,11.629624464638619,15,6,2489,6,7.614325631840076,2,3.869885291612758,5.3945039147938845,88.6,Brazil,Brazil,left,169.1596348870026,64.91281670574764,0,7.574223623453714,5.795887665729746,79.6,4.979606318170137,74.0,0.8191057466602597,6.557504224085966,0.3540371952907203,0.35517959601141463,0.05876349746530431,1.473931001331001,53.1,75.9,0.10845515449403616,6.1633813316417925,71.1,0.7323572252567299,86.7,1.3625370351068078,92.8,1.270311304670869,4.171974511378663,71.3,8.724395722167902,59.4,1.6474471359870457,5.057563163598474,14.26966568754549,39.17093529184997,1.2940594386300477,2.353617016469283,0.8452618446718716,70.88337211823168,64.4,6.238373551671895,76.5,22.166853441850584,84.7,26.888735613588743,67.9,43.29718939688712,88.3,4.183549301219349,71.0,10.551991006001769,44.89722807277218,0.13881238372143612,0.9773264020424552,0.8047085885811869,0.833239540964052,1.5905682424179146,4.362508058758007,95.7,2.33783178549663,71.3,0.6738536954042171,90.4,1.338583986568047,0.1654596363951163,2.5095397805615343,78.4,RCM
Fake Player 3,FC Synthetic 3,FC Synthetic 3,LaLiga,RCM,34,43.349374839863344,25,12,2008,11,9.033278719640531,3,2.9097942363399927,13.307794326692566,56.2,Norway,Norway,right,173.50562299797687,77.08288042476673,0,13.267898819237445,4.704271425055684,84.9,1.7939101362860475,93.0,0.08888466328644759,6.54281216985522,0.19570607633231912,0.3567933049537087,0.07180623366342505,2.065142642557521,76.5,85.0,0.19770391072474505,2.3583852424680045,58.8,2.5631783729804956,63.3,0.5712585139990485,77.4,0.6097533056506654,1.51815804700958,86.1,8.427297307910955,91.6,3.7746237526440947,1.2636826271295636,11.160526990245689,51.93728763200538,3.00496730309352,2.600142521304754,1.0921515078182202,44.06199794970365,78.2,8.280124017894394,47.5,6.0670196469036375,71.6,19.569087777479265,81.5,31.924891675347734,55.7,3.015029803435478,75.7,15.736722519241274,42.27200139708309,0.1822962923197977,1.1810625423375984,0.7209621638267112,0.20471995933541243,1.8546846703905273,4.2772034649824695,89.9,2.3232197673103347,83.4,0.4667433974313264,71.3,0.6775028331288733,0.5863518284149009,10.839922821510424,70.6,RCM
Fake Player 4,FC Synthetic 4,FC Synthetic 4,Ligue 1,AM,32,41.62360674504274,45,35,2894,1,7.206959467183516,3,5.758360806612782,13.950992929703174,71.8,Brazil,Brazil,right,185.24209642047833,62.16059136599728,1,14.275048596250496,5.574425716563558,75.4,2.0191404990111135,86.9,0.5362066108969831,3.574377138880367,0.056655587189162,0.49640397863522245,0.04426560151602582,1.7934528714233453,78.2,69.0,0.07899282074531128,4.019071160349327,76.1,0.10341297849828834,82.5,0.5790226084762989,77.7,1.273158127590715,6.270832932375927,71.7,3.897681372107681,74.1,2.6852678579102944,5.504654451046037,18.388167497238584,56.344710900600475,1.6510129404124696,2.800905903237012,0.5745802700324627,63.04553353219163,73.6,20.95849909524157,65.9,16.90431377033299,83.3,37.88276215138562,76.7,22.776661257974624,77.5,1.4504428752245055,89.3,21.39509055981994,25.473948042374694,0.18318440406647235,1.728318167547332,0.3584556454325618,0.4293923274296819,1.5737883571498774,5.9266525300654695,59.9,1.819210019594431,77.9,0.6561564408148395,63.9,0.23454126045777632,0.44929506288650445,10.26667221377054,77.5,AM
Fake Player 5,FC Synthetic 1,FC Synthetic 1,Serie A,AM,22,68.74819938568204,36,20,846,3,9.632112235493796,1,8.199100291905754,5.545768890279617,66.3,Germany,Germany,right,192.30980730555757,61.68982724480353,0,10.973945290738406,11.67935875402331,62.1,5.804853873765609,68.0,0.49084215845487567,9.422018001697726,0.06107605353656829,0.17076913110081143,0.015629132196097507,2.294503640122324,87.1,56.6,0.3443544674083976,6.945234868013228,85.8,2.126586235322437,72.1,1.625215714989685,65.9,0.759709965747569,6.545738556457652,70.8,3.063886830124078,68.5,2.165693521301349,3.422854946946386,11.684911537595593,49.24557507632239,4.892903889611401,0.7544211479495149,1.2703174050906711,76.23655995830592,75.7,10.235820913156505,74.5,24.676410004632125,76.9,19.93534734886397,60.8,48.936380126498385,81.9,3.4516113759752036,83.1,21.293287054867463,30.02527101412932,0.01823226146701784,0.6054361448593015,0.2830324880626349,0.35701729900060175,0.9797430001446301,4.188394508211979,69.6,2.5992287958427984,68.5,0.43004337679543303,57.4,0.9653612497717206,0.5707226929191692,7.46684211569528,77.0,AM
Fake Player 6,FC Synthetic 2,FC Synthetic 2,Serie A,LCM,25,37.56114988188775,38,29,2987,2,7.820051707381772,1,2.7390345055610466,8.637610658097934,76.2,Norway,Norway,right,171.07567223772557,60.01659981330258,0,11.689476589915795,3.8485744813920633,61.4,1.9552868294038706,77.2,0.10405378037183896,10.14441987802602,0.2750135740439487,0.08142827562135124,0.01041514938028716,3.1943602415032837,90.7,55.8,0.32922704662736596,1.0728454055322614,63.0,2.9981701095435804,49.8,0.38663221401142545,79.2,0.33455419199744296,5.929678822068421,84.8,11.65142117057399,72.3,2.673226088979427,3.7236016115290154,9.03602120351542,45.07264944521211,0.6474075361866287,2.8493006200570004,2.7548867254544853,49.02723971250829,85.4,10.640949640758977,71.4,15.630094636854972,61.8,35.0483323795884,71.7,49.94950078196244,59.7,2.232682004878745,65.1,11.288633574249378,25.866845540825278,0.17209061053840144,0.24979552563136154,0.42251706957901414,0.9126999907416816,0.6924917332378715,7.338362208129596,79.2,3.8557698634099653,75.4,0.2246902381164928,68.5,0.3731210899544054,0.7980427344855086,2.224054651822815,81.0,LCM
Fake Player 7,FC Synthetic 3,FC Synthetic 3,Serie A,CM,27,31.422070191927926,27,18,2796,3,8.668014382619265,3,3.9688289046584,11.801938854753958,69.3,Spain,Spain,right,181.26237104852157,73.96213311021643,0,5.525759903230554,10.805727364510632,60.7,2.864763774450263,75.0,0.26684151347617285,3.0881333390738277,0.018949002691795915,0.25958361745716074,0.09997653369143439,3.485028251971431,90.7,62.4,0.36085986736360054,4.338916543064765,81.4,0.022448988320299845,53.7,2.0666910239665053,73.7,1.416218469990699,4.375168724535872,69.6,7.988583701003527,60.2,1.9480981374497994,3.305914613137719,13.886375168600308,37.097167633940145,3.7954328997551676,0.6690500190732375,2.5784053147075707,69.23838880301588,63.1,24.478462883590268,77.5,21.013436399188414,60.8,36.87710553927652,74.2,46.647146084600905,68.5,5.634617877799083,81.8,19.142333306342785,41.41558754082333,0.2564257452460811,0.26880580150893335,0.09703036053335845,0.9197774153622736,1.0997869965132643,7.973843567045734,74.3,3.2581541179440854,78.8,0.4348568587248258,60.5,1.2549517196308584,0.9317144800492464,7.624296180338007,68.8,CM
Fake Player 8,FC Synthetic 4,FC Synthetic 4,Premier League,RCM,22,51.5254984277317,6,10,1860,11,1.141040711836372,9,11.164615411069805,13.54038880572962,73.3,Germany,Germany,right,186.04173303730298,84.78796420135136,1,14.455198910219064,9.37059504961303,57.3,2.8788357628330137,77.8,0.529155158157644,4.428833405576942,0.11463750596552531,0.2666249049158541,0.045535212144348726,0.7362298696487514,65.0,61.9,0.3509907924897038,4.073734256229675,78.3,0.48313704845981975,64.8,2.8318413775877898,68.9,0.41245631075567474,4.34559154675273,74.6,6.156834091464291,89.2,2.1456379562105568,0.6981369875994656,12.284371387816378,40.41303668302937,3.9784866178614227,1.6851405398195383,1.4300093917991472,58.88882565112791,72.6,12.148123720923566,86.3,16.903619463782043,86.2,24.5000503964841,69.9,28.15123883786918,66.6,7.153027193619036,81.4,12.143044278112862,36.62813952584632,0.21842089843017354,0.4415038495523451,0.4512805015659471,0.6508859263236664,0.7907203002898493,5.776311568425955,61.0,1.9847931596163313,92.2,1.8115140636596856,68.8,2.468587595958168,0.41741582519855813,2.545890499264261,82.1,RCM
Fake Player 9,FC Synthetic 1,FC Synthetic 1,Ligue 1,DM,22,22.05060208256684,19,17,2480,12,7.324135029937877,0,0.5828314781634969,7.5486323404476625,93.8,Spain,Spain,left,193.58767405456697,61.1148272089573,1,8.924847342649437,10.470172612431252,76.1,1.8916911246132595,68.0,0.8914875718296987,10.23123351036383,0.05591503618794724,0.08895624414807224,0.08725317491484982,1.654050417984024,71.5,73.5,0.38383850482379794,5.844684258460928,82.5,2.0224329026794035,80.3,1.2803868649931347,67.2,0.03930222628168967,6.907644259605579,59.2,7.890208209102176,71.1,1.5160823984768463,3.2339986399362894,5.108336860268223,40.37201252899287,0.8022324378096513,2.6006275515695294,1.9395840464545095,60.1895310567012,76.9,6.7896825537979,71.8,20.661766298459852,87.0,36.82867808442228,89.8,56.52864234034419,75.2,3.119284007719566,66.9,17.3981399930169,35.27437082334107,0.030113506511314905,1.2268693726479245,0.04314098309523984,0.11074014027269186,1.8969762668380652,7.790398124789146,78.9,1.6635569016138665,82.9,0.17044335155305745,82.4,2.215118730457315,0.7179326455436245,5.203789596374804,65.9,DM
Fake Player 10,FC Synthetic 2,FC Synthetic 2,Premier League,CM,22,12.041704465362592,48,8,1905,0,4.400886995273686,3,5.529235262874795,9.204233842193151,73.3,Norway,Norway,left,183.30181448661523,80.87224340690737,1,14.239004005454298,11.783077863311068,86.3,4.766850975403997,74.1,0.28447449238159583,7.395948902400465,0.1764309718469137,0.30655470949706976,0.04823760046291145,1.0421185873004284,79.8,63.1,0.09133449265277038,3.131689237316662,83.7,0.1799725037560448,76.1,2.7033159394520303,100.0,0.3640110644325404,2.487410138987097,82.0,2.618119610717154,88.7,2.039486552070756,1.949523144723448,9.676332036511301,20.814738947375105,1.2734121390410822,0.6757778464111384,1.9184013975351462,35.403302266929586,68.0,5.9107986827465275,64.4,18.111882707105742,78.2,18.304098621731413,79.8,50.12632076083506,91.3,3.330178377898326,83.5,13.595285512616822,36.088997639930554,0.26722239427469957,1.6547326580682646,0.003945960027194495,0.4821927896583025,1.114338518209932,6.08350055256621,74.9,3.5923603536809248,87.1,0.649513287510469,71.2,2.8526743927649476,0.19679918784140937,8.28909618902739,69.3,CM
